Id;Name;ParentId;IsFeatured;Image;CreatedAt;UpdatedAt
0BS2OpUnXKLDTBjIab6T;Organización y Archivo;Okjm53QL8uk427Muak5y;false;;2025-08-20T00:46:35.853;
0nVr6rHpooGl3GLqESMf;Limpiadores Multiusos;WXtm4Idw1H4uhjvOO54v;false;;2025-08-20T00:46:35.853;
1hCIWvghg7805myeKqY4;Cuidado del Cabello;CTeiiln5DFjBtruhf5fw;false;;2025-08-20T00:46:35.853;
1tAFXxcg4eNd2QwuPmQd;Bolsas de Plástico;rmOKhJm5YHwN5N3rJ2gx;false;;2025-08-20T00:46:35.853;
2NFYRQCPRcFrd3gboWKy;Refrescos;OFLlwhqPkHAW9Rp6cak2;false;;2025-01-14T01:37:49.090;2025-01-14T01:37:49.091
2aqGJKpPR1dDKMqq4HEY;Vajilla descartable;rmOKhJm5YHwN5N3rJ2gx;false;;2025-08-20T00:46:35.853;
2sRd1HjMq0c3HtQaBh0q;Alimentos mascotas;;false;https://firebasestorage.googleapis.com/v0/b/miji-markets.appspot.com/o/Products%2FMascotas-01.png?alt=media&token=e7416c4d-e627-4eb9-b08c-5d79e7bd3557;2024-09-12T22:14:49.872;2024-09-23T16:32:22.060
43h1y6aTFJDozDtiWSYt;Harinas, Féculas y Polvo para Hornear;Nh5tv2PoerViBa1SVqCx;false;;2025-01-14T00:55:35.166;2025-08-20T00:28:36.737
4D1lxz44F1pgMt6vKfWp;Vodka;9lHZ1WjGUPvyGM398uxB;false;;2025-08-20T00:46:35.853;
4gQjxEWlEdV7bj7lTSSy;Frutas;E1YOr5hifdgxwFbRyLxP;false;;2025-08-20T00:46:35.853;
4mg6baCcqh2FaQgYIY5A;Cuidado del Bebé;;true;https://firebasestorage.googleapis.com/v0/b/miji-markets.appspot.com/o/Categories%2FCuidado-del-beb%C3%A9-03_1755158584262.png?alt=media&token=c13859f3-c1d5-4e30-b55a-ac26e26ea24e;2025-08-14T03:03:19.409;2025-08-14T03:03:19.409
5J3gePqja8ylN4ByDjO0;Conservas;OFLlwhqPkHAW9Rp6cak2;false;;2025-01-13T18:16:03.076;2025-01-13T18:16:03.077
65Mebfm75OUjIQhzk7Rw;Panadería y Pastelería;;true;https://firebasestorage.googleapis.com/v0/b/miji-markets.appspot.com/o/Categories%2FPanaderia-y-pasteleria-03.png?alt=media&token=a8505455-1869-4328-a75f-9c3979d8f046;2025-01-12T02:00:45.221;2025-03-24T21:32:21.276
6DMpR4shZafEKviwyRYm;Camotes y Chifles;I03TCiSthTSXJPgfc9R7;false;;2025-08-20T00:46:35.853;
6JoFyd7hscsXzBjoKzHz;Huevos;EKbYSnxyHlRHWCK0p3qw;false;;2025-08-20T00:46:35.853;
7CGmYn3GLJerLxocN8NW;Papel Toalla;WXtm4Idw1H4uhjvOO54v;false;;2025-08-20T00:46:35.853;
7Mcof5v2NSwOJgArwLiH;Esponjas y Paños;WXtm4Idw1H4uhjvOO54v;false;;2025-08-20T00:46:35.853;
7Q6JygDjjjYcRNha5O4R;Rehidratantes;eQbuISqoNAYwpzoFaWRE;false;;2025-01-11T23:35:17.519;2025-01-11T23:35:17.520
7mLyN7j2AJ3FFEcHgx0U;Modificadores de leche;Ax2WfC2y4N2iVYpTG8O6;false;;2025-08-20T00:46:35.853;
7tZmrYuNqZy2QzQ68D4V;Esencia de Vainilla;Nh5tv2PoerViBa1SVqCx;false;;2025-01-14T00:55:23.760;2025-08-20T00:27:40.767
8OulDBTCk0hrpkOY5WEy;Higiene Personal;CTeiiln5DFjBtruhf5fw;false;;2025-08-20T00:46:35.853;
8qQO1oLE5FixpYi8pN1P;Café e Infusiones;Ax2WfC2y4N2iVYpTG8O6;false;;2025-01-14T01:38:46.946;2025-01-14T01:38:46.946
8zhpKGm0YcAmy7MftMT5;Accesorios;wCnhSUPdb7JnLxaeECUu;false;;2025-08-20T00:46:35.853;
