Ref.;Descripción;Subtotal;IGV;category;precio;categoria padre
1;Gaseosa COCA COLA Sabor Original Botella 500ml;2.54;18;Gaseosas;3;Bebidas
2;Pañales para Bebé HUGGIES Active Sec Talla G por unidad;1.1;18;Pañales y Toallitas para Bebés;1.3;Cuidado del Bebé
3;Gaseosa COCA COLA Sabor Original Botella 192ml - RETORNABLE;0.85;18;Gaseosas;1;Bebidas
4;Gaseosa INCA KOLA Sabor Original Botella 625ml - RETORNABLE;2.54;18;Gaseosas;3;Bebidas
5;Gaseosa INCA KOLA Sabor Original Botella 192ml - RETORNABLE;0.85;18;Gaseosas;1;Bebidas
6;Gaseosa COCA COLA Sabor Original Botella 2L - RETORNABLE;5.51;18;Gaseosas;6.5;Bebidas
7;Gaseosa INCA KOLA Sabor Original Botella 2L - RETORNABLE;5.51;18;Gaseosas;6.5;Bebidas
8;Agua Mineral SAN MATEO Sin Gas Botella 600 ml;1.69;18;Agua Mineral;2;Bebidas
9;Agua Mineral SAN MATEO Con Gas Botella 600 ml;1.69;18;Agua Mineral;2;Bebidas
10;Agua SAN LUIS Sin Gas Botella 750 ml;1.53;18;Agua de Mesa;1.8;Bebidas
11;Bebida Rehidratante POWERADE Mora Azul Botella 600ml;2.12;18;Rehidratantes;2.5;Bebidas
12;Bebida Rehidratante POWERADE Multifrutas Botella 600ml;2.12;18;Rehidratantes;2.5;Bebidas
13;Agua BENEDICTINO Sin Gas Botella 3L;2.97;18;Agua de Mesa;3.5;Bebidas
14;Agua BENEDICTINO Sin Gas Botella 600ml;1.02;18;Agua de Mesa;1.2;Bebidas
15;Gaseosa COCA COLA Sabor Original Botella 400ml - RETORNABLE;1.53;18;Gaseosas;1.8;Bebidas
16;Gaseosa INCA KOLA Sabor Original Botella 400ml - RETORNABLE;1.53;18;Gaseosas;1.8;Bebidas
17;Gaseosa INCA KOLA Sabor Original Botella 1L - RETORNABLE;3.39;18;Gaseosas;4;Bebidas
18;Gaseosa INCA KOLA Sabor Original Botella 2.25L;7.63;18;Gaseosas;9;Bebidas
19;Gaseosa COCA COLA Sabor Original Botella 2.25L;7.63;18;Gaseosas;9;Bebidas
